participant_list,item ,condition: topical,transcription,repetition,sentence type,word order,"SOL, ms"
ATL_a3,1,none,wuljaen marjaen juntɨ mašinaen taλeλλe,ok,act,APV,1792
ATL_a3,2,A,marjaen wuljaeλ poxelm- poxelmseλλe,ok,act,APV,1900
ATL_a3,3,P,wuljaen marjaeλe pa-  marjaeλ paltajen λomteλλe,ok,act,APV,2830
ATL_a3,4,none,marjaen wuljaen xoλen (грязный) jink šošemseλλe,ok,act,APV,1912
ATL_a3,5,A,wuljaen marjaeλ kurλeλλe,ok,act,APV,1505
ATL_a3,6,P,marjaen wuljaeλ pevlepteλλe xuren pevlepteλλe ,ok,act,APV,3120
ATL_a3,7,none,wuljaen marjaen λapλeλλe,ok,act,APV,1531
ATL_a3,8,A,marjaen wuljaena potem (холодный) jink maλ,ok,NA,NA,1825
ATL_a3,9,P,wuljaen marjaeλ keλen juxa xošseλλe,ok,act,APV,2242
ATL_a3,10,none,marjaen- marjaeλ wuljaeλ mašeken (кулаком) xatʂeλλe ,ok,act,APV,1641
ATL_a3,11,A,wuljaen marjaeλ peλa njoλ el- njoλ eseλ eseλ,ok,NA,NA,1725
ATL_a3,12,P,marjaen wuljaeλ moseλteλλe ,ok,act,APV,4312
ATL_a3,13,none,wuljaen marjaeλ soken janʂeλλe ,ok,act,APV,3214
ATL_a3,14,A,marjaen wuljaen por- paltajen λomteλλe,ok,act,APV,2474
ATL_a3,15,P,wuljaen-  marjaen wuljaeλen jinken šošemsa,ok,pass,PAV,1738
ATL_a3,16,none,wul- marjaen wuljaeλ njoλen esλeλλe,ok,act,APV,3504
ATL_a3,17,A,ʂaλta wuljaen marjaeλ nux pevlepteλλe ,ok,act,APV,1919
ATL_a3,18,P,wuljaen juntɨ mašinkaen marjaeλen taλλa,ok,pass,PAV,2200
ATL_a3,19,none,wuljaen marjaeλ šănš eweλt poxelmasλe,ok,act,APV,2160
ATL_a3,20,A,marjaen wuljaen keλen juxa jurseλλe,ok,act,APV,2397
ATL_a3,21,P,marjaen wuljaeλen mašeken xatʂesɨ,ok,pass,PAV,2250
ATL_a3,22,none,marjaen wuljaeλ kurλeλλe,ok,act,APV,2340
ATL_a3,23,A,marjaen wuljaeλen moseλtesɨ ,ok,pass,PAV,2696
ATL_a3,24,P,wuljaen marjaeλen supen λapλa,ok,pass,PAV,3716
ATL_b2,1,P,marjaen wuljaejen juntɨ mašinkaen taλλa,ok,pass,PAV,2418
ATL_b2,2,none,marjaen wuljaen- wuljaen poxelmasλe,ok,act,APV,2614
ATL_b2,3,A,wuljaen maša- mašaena palta mašaen paltajen masλe λomteλλe,ok,act,APV,2649
ATL_b2,4,P,marjaen wuljaen pe- wuljaen xoλen jinken šošemseλλe,ok,act,APV,3088
ATL_b2,5,none,wuljaen marjaen nux kurλeλλe,ok,act,APV,3730
ATL_b2,6,A,marjaen wuljaen pevlepteλλe ,ok,act,APV,2247
ATL_b2,7,P,wuljaen marjaen- marjaeλ λapλeλλe,ok,act,APV,2061
ATL_b2,8,none,wuljaen pa marjaen potem jink janλengen,ok,NA,NA,2683
ATL_b2,9,A,NA,NA,NA,NA,7000
ATL_b2,10,P,wuljaen mašaejen xatʂesɨ,ok,pass,PAV,2084
ATL_b2,11,none,wuljaen marjaen peλa lukeλ esλeλλe,ok,NA,NA,3114
ATL_b2,12,A,ostanovkajen marjaen wuljaeλ  moseλteλλe ,ok,act,APV,3225
ATL_b2,13,P,wuljaen marjaen soken janʂeλλe ,ok,act,APV,4230
ATL_b2,14,none,marjaen wuljaeλ porx šopen λomteλλe,ok,act,APV,1934
ATL_b2,15,A,wuljaen marjaen potem jinken šošemseλλe,ok,act,APV,2081
ATL_b2,16,P,marjaen wuljaen njoλen esλeλλe,ok,act,APV,2842
ATL_b2,17,none,wuljaen marjaen pevlepteλλe ,ok,act,APV,1500
ATL_b2,18,A,marjaen wuljaen juntɨ mašinkaen taλeλλe,ok,act,APV,1835
ATL_b2,19,P,wuljaen marjajəλ šănšəλ ewəλt  pɵxəλməs- pɵxəλməsλe,ok,act,APV,1714
ATL_b2,20,none,marjaen wuljaen juxa keλen jurseλλe,ok,act,APV,2315
ATL_b2,21,A,wuljaen mašaeλ mašeken xatʂeλλe ,ok,act,APV,3335
ATL_b2,22,P,wuljaen majrajejen nux kurλa,ok,pass,PAV,3563
ATL_b2,23,none,wuljaen marjaeλ moseλteλλe ,ok,act,APV,2709
ATL_b2,24,A,marjaen wuljaeλ supen λapλeλλe,ok,act,APV,1943
GVD_a2,1,P,ʂaλta wuljanajeλen- marjaen mašinajen oxtɨ omses wuljanaeλen ʂi toλi,ok,pass,AV,1410
GVD_a2,2,none,marjaen wuljanajeλ poxeλmesλe,ok,act,APV,2604
GVD_a2,3,A,ʂaλta λuw marjaeλ porx šopen palta λomettɨ partseλe (велеть),ok,act,APV,1377
GVD_a2,4,P,ʂaλta marjaeλen jinken temetsa,ok,pass,AV,1735
GVD_a2,5,none,"marjaen xuw uλ, wuljanaeλ nux ʂi kurλa ...",ok,NA,NA,4757
GVD_a2,6,A,ʂaλta wuljanaeλ λjuxittɨ oλnitseλλe (начала мыть),ok,act,PV,1387
GVD_a2,7,P,ʂaλta wuljanaeλen pa λapettɨ ʂi oλnitsa,ok,pass,AV,1445
GVD_a2,8,none,ʂaλta marjaen wuljanajen - jink marjaeλ ... marjaeλen jinken ʂi maλɨ,ok,NA,NA,1644
GVD_a2,9,A,ʂaλta wuljaen marjaeλ juxa jirseλλe ʂi keλen,ok,act,APV,1451
GVD_a2,10,P,ʂaλta ʂit patɨ pa marjaeλen senktɨ ʂi oλnitsa,ok,pass,AV,1697
GVD_a2,11,none,ʂaλta in wuljajen joxλ eweλta njoλ eseλti pites marjaeλa,ok,NA,NA,1168
GVD_a2,12,A,ʂaλta in morozheni- marjaeλa wuljanajeλa masλe ... marjajejen wuljanaen mosλtesɨ,ok,NA,NA,3738
GVD_a2,13,P,ʂi sok- marjajen- sok janλ- wuljanajen mijumi,ok,NA,NA,1147
GVD_a2,14,none,marjaen wuljanajeλ λomteλλe,ok,act,APV,6296
GVD_a2,15,A,ʂaλta jinken marjajen jinken šošemseλλe,ok,act,PV,2043
GVD_a2,16,P,ʂaλta junti pites junti- luk eweλta- marjajen luk eweλta wuljajen peλa njoλ eseλti pites,ok,NA,NA,1310
GVD_a2,17,none,wuljanajen marjajeλ šănš λjuxatλ (моет спину),ok,NA,NA,3734
GVD_a2,18,A,ʂaλta wuljanaeλ junti mašinaje omseλλe pa marjaen ??? ʂi toλe,ok,NA,NA,1259
GVD_a2,19,P,ʂaλta wuljanaeλ ... λjuxtes pa in marjajeλ pɵxəλti ʂi pitsa,ok,NA,NA,1907
GVD_a2,20,none,"ʂaλta marjaen ʂi keλ pa nux engxseλλe (отвязала), wuljanajen juxa jirseλλe ʂi keλen",ok,NA,NA,1748
GVD_a2,21,A,ʂaλta - a marjiaen sugatseλλe да?,ok,NA,NA,1693
GVD_a2,22,P,"ʂaλta iλ wujemsa, marjajen λuxtes, ??? nux ʂi kurλa",ok,NA,NA,1775
GVD_a2,23,none,ʂaλta wuljanajen marjaeλ  wenš puneλ eweλt moseλteλλe ,ok,act,APV,1909
GVD_a2,24,A,ʂaλta in sup- marjaenin si supeλen pa wuljajen ʂi λapλeλλe,ok,act,APV,1527
GVD_b3,1,none,ʂaλta marjaen ši mašinka oxtɨjen λaλes pa wuljanaeλen ʂi toλeλλe,ok,NA,NA,1378
GVD_b3,2,A,ʂaλta polinajen λuntes pa in polina- marjajen polinajen kim woshti pitseλλe,ok,NA,NA,2874
GVD_b3,3,P,ʂaλta polinajenen paltajen pa milen masi ,ok,pass,AV,1261
GVD_b3,4,none,marjajen pa vetra eweλta wuljanajeλ jinken temetseλλe,ok,act,APV,2799
GVD_b3,5,A,"aλengaeλ λuw- katjaen-marjaen xuw uwuλes, wuljanaeλ nux ʂi uwuλa ",ok,NA,NA,1650
GVD_b3,6,P,ʂi xura omses pa marjajeλen šanši λjuxλa ,ok,pass,AV,1312
GVD_b3,7,none,wuljajeλ pa marjajeλ ??? ...,ok,NA,NA,4671
GVD_b3,8,A,ʂaλta in kompot- in kavrtum kompotλ pa wuljajeλ janʂeλλe,ok,act,PV,2035
GVD_b3,9,P,ʂaλta junti pitsengen pa wuljajeλen keλen nux wusi pa in marja juxa ʂi jirsa,ok,pass,APV,1829
GVD_b3,10,none,pa ʂi mar wuljanajen pa - wuljananjen marjajeλ piλa kula pitsengen,ok,NA,NA,1322
GVD_b3,11,A,ʂaλta ʂi njoλiλaλen marjaeλ njoλen eseλti pitseλλe ,ok,act,PV,1447
GVD_b3,12,P,wuljajen ... šuwateseλλe marjaeλen moseλtesi ,ok,pass,PAV,8840
GVD_b3,13,none,ʂaλta polinajen ʂi soken marjajeλ janʂesλe,ok,act,APV,1144
GVD_b3,14,A,ʂaλta marjaen kimenti pites pa wuljanaeλen paltajen λomteλλe,ok,NA,NA,2394
GVD_b3,15,P,ʂaλta jinken ...,ok,NA,NA,1736
GVD_b3,16,none,polinajen pa marjajen junti pitsengen...,ok,NA,NA,2049
GVD_b3,17,A,ʂaλta marjajeλ taz lipije omses pa wuljajeλen šănš eweλt λjuxtsa ,ok,NA,NA,2175
GVD_b3,18,P,ʂaλta junti mašinkajen wuljajen marjajeλen pa ʂi toλe,ok,pass,PAV,2075
GVD_b3,19,none,ʂaλta wuljanaeλ ... marjajeλ ʂi pitsa,ok,NA,NA,3180
GVD_b3,20,A,"ʂaλta marjaen ʂi keλ pa nux engxseλλe (отвязала), wuljanajen juxa jirseλλe ʂi keλen",ok,NA,NA,1774
GVD_b3,21,P,???,ok,NA,NA,2056
GVD_b3,22,none,"ʂaλta iλ wujemsa, marjajen λuxtes, ??? nux ʂi kurλa",ok,NA,NA,2477
GVD_b3,23,A,NA,-,NA,NA,7000
