window_key,window,participant,asc_file,block,image,sentence_type,patient_animacy,agent_num,patient_num,condition_key,condition,filename_suffix,rt,time_bin50,time_rel,agent_prop,patient_prop,n_samples,item,contrast_code,participant_condition,time,N,agent.sum,pat.sum,log.agent,wts.agent,log.pat,wts.pat
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,12,0,0,0,49,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0,49,0,0,-4.59511985013459,2.0202020202020203,-4.59511985013459,2.0202020202020203
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,13,0.05,0.3,0,50,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0.05,50,15,0,-0.8286926725561692,0.09268514311676511,-4.61512051684126,2.01980198019802
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,14,0.1,1,0,50,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0.1,50,50,0,4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,15,0.1,1,0,50,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0.1,50,50,0,4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,16,0.15,0.82,0,50,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0.15,50,41,0,1.4744016286301573,0.1293595434369055,-4.61512051684126,2.01980198019802
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,17,0.15,0,0,50,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0.15,50,0,0,-4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,18,0.2,0,0,50,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0.2,50,0,0,-4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,19,0.25,0,0,50,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0.25,50,0,0,-4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,20,0.25,0.68,0,50,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0.25,50,34,0,0.7375989431307791,0.08959156785243742,-4.61512051684126,2.01980198019802
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,21,0.3,1,0,50,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0.3,50,50,0,4.61512051684126,2.01980198019802,-4.61512051684126,2.01980198019802
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,22,0.3,0.38,0.52,50,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0.3,50,19,26,-0.4795730802618862,0.08302808302808302,0.07847161544149531,0.07855217558721601
linguistic_encoding_1,Linguistic encoding I,К01,k01.asc,33,boil-1-2-l.png,direct,inanimate,1,2,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1_agent_2_patients_inanimate_patient,4037,23,0.35,0,1,50,boil,-1,К01.direct_1_agent_2_patients_inanimate_patient,0.35,50,0,50,-4.61512051684126,2.01980198019802,4.61512051684126,2.01980198019802
