participant,image,sentence_type,condition_key,condition,number_source,agent_num,patient_num,patient_animacy,rt,translation,transcription,comments
К01,open-2-2-r.png,inverse,inverse_1_agent_1_patient,Inverse used for 1-1,produced_columns,1,1,inanimate,1752.000000,Двое дедушек открывают две двери,Ынпыӄлаволаийк  нэкунв'эн'эныт  тыллыт,
К01,shoot-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,animate,2061.000000,Мальчик стреляет в девочку,"К'айыкмин'а  кулк'эйн,ыв'ын'нин  навыткатпиль",
К01,carry-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,2677.000000,Двое мужчин несут два ведра,К'лаволаек нэкунн'ин'нын кукэн'эт,
К01,clean-1-2-l.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,1299.000000,Дедушка чистит два пальто,"Ынпыӄлавола кон,айк'ытв'ан'нэн пальтот",
К01,clean-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,2325.000000,Бабушка чистит пальто,"Чачамйак  кон,айк'ытв'ан'нэн  ичг'ын",
К03,open-2-2-r.png,inverse,inverse_1_agent_1_patient,Inverse used for 1-1,produced_columns,1,1,inanimate,2520.000000,Двое дедушек открывают две двери,Г’удемтэв’илг’э  нэкунв'эн'эньн'ынэт  тыллыт,
К03,shoot-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,animate,1909.000000,Мальчик стреляет в девочку,К'адыкмин'а  диннин  навытк'атпиль,прошедшее 1
К03,clean-1-2-l.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,1414.000000,Дедушка чистит два пальто,"Ынпыӄлавола ян,айк'ытв'аньн'ынэн ичг'ыт",будущее
К03,clean-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,2514.000000,Бабушка чистит пальто,"Чачамдынак кун,айк'ытв'аньн'ынин  ичг'ын",
К04,open-2-2-r.png,inverse,inverse_1_agent_1_patient,Inverse used for 1-1,produced_columns,1,1,inanimate,2671.000000,Двое дедушек открывают две двери,Г’оляйык  нэкунв'эн'эньнин  тыллытыл,
К04,push-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,animate,3163.000000,Две девочки толкают двух мальчиков,Н'авык'к'алю копэннылан' к'айыкмин'ын',девочки нападают на мальчиков (дат.)
К05,shoot-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,animate,4009.000000,Мальчик стреляет в девочку,К'айыкмин'а  кулк'эйнэв'н'ынин  ӈавык'к'алю,
К05,pick-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,3131.000000,Два мальчика срывают два цветка,К'айыкмин'ыйык  каёйэнав'  в'ытв'ыто,
К05,clean-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,2979.000000,Бабушка чистит пальто,Ынпыӈэв’энак конмалын'нын пальто,
К06,shoot-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,animate,1735.000000,Мальчик стреляет в девочку,К'айыкмин'а  кулк'эйн'эв'н'ынин  навыткатпиль,
К06,clean-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,2389.000000,Бабушка чистит пальто,"Ынпыӈэв’э  кон,айк'ытв'ан'нэн  пальтон",
К06,saw-1-1-r.png,inverse,inverse_1_agent_1_patient,Inverse used for 1-1,produced_columns,1,1,inanimate,1987.000000,Мужчина пилит бревно,Г’оляна нэкучг'ынин  уттыт,
К10,clean-1-2-l.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,3689.000000,Дедушка чистит два пальто,Апапо кучистин'нынын пальтов'э,
К14,clean-1-2-l.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,1420.000000,Дедушка чистит два пальто,Ынпын'этэ кучистин'нынын пальтот,
К17,hang-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,1911.000000,Две бабушки вешают две картины,Чачамйа коннёпаньн'ын каликал,
К17,treat-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,animate,2477.000000,Две женщины лечат двух мужчин,Н'авычӈэ куенмэлэв'ын'нин г'олят,
К17,clean-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,2213.000000,Бабушка чистит пальто,Чачамйа кунмэтг'атын'нын ичг'э,
К17,throw-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,1362.000000,Две девочки бросают два мяча,Н'авык'к'алют куйичвылын к'апыла,
К20,wake-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,animate,2857.000000,Две женщины будят двух мужчин,Н'авычӈэйык кукумг'эн'нын г'оляв',
К20,clean-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,1780.000000,Бабушка чистит пальто,Анянак кучистин'нын пальто,
К22,scold-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,animate,4204.000000,Две девочки ругают двух мальчиков,Н'авык'к'алю кокомалын к'айыкмин'ын,
К22,clean-1-2-l.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,1740.000000,Дедушка чистит два пальто,Г'олята кучистин'нынын пальтов',
К22,clean-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,1928.000000,Бабушка чистит пальто,Анята кучистин'нынын пальтон,
К25,clean-1-2-l.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,1430.000000,Дедушка чистит два пальто,Ынпыӄлавола кучистин'нын ичг'эт,
К25,clean-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,1308.000000,Бабушка чистит пальто,Чачамйа кучистин'нын  ичг'ын,
К25,burn-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,1521.000000,Два дедушки сжигают две книги ,Ынпыӄлаволатэ  кумилгынг'энын калитг'кула,
К24,clean-1-2-l.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,2814.000000,Дедушка чистит два пальто,Апапонак кучистин'нынын'  пальтот,
К07,clean-1-2-l.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,5810.000000,Дедушка чистит два пальто,Апапота  кучистиньн'ынин н'ыччек' пальтот,
К07,call-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,animate,2773.000000,Две бабушки зовут двух дедушек,Эльг'ат кокомачэнын г’уемтэв’илг’ын,
К07,clean-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,2619.000000,Бабушка чистит пальто,Эльг'ата кучистин'нынын пальто,
К13,break-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,3724.000000,Два мальчика ломают два домика,К'айнюнютык ганпачав'лэн рарав'э,
К13,boil-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,3835.000000,Две женщины варят две курицы,Нав'г'аныну кокайвылаткын курицак,
К13,clean-1-1-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,5695.000000,Бабушка чистит пальто,Ынпыӈэвынык чистытыткын пальто,
К15,break-2-2-r.png,direct,direct_2_agents_2_patients,Direct used for 2-2,produced_columns,2,2,inanimate,2041.000000,Два мальчика ломают два домика,К'айыкминыв' ганпачав'кын рарав'э,
К15,open-2-2-r.png,inverse,inverse_1_agent_1_patient,Inverse used for 1-1,produced_columns,1,1,inanimate,2679.000000,Двое дедушек открывают две двери,Ынпыӄлавола нэвэ'капыткын тыллытыл,
