participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,rt,translation,transcription,comments
К01,eat-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,2007.000000,Мужчина ест яблоко,"К'лавола кугитэн,нин яблоко",
К01,wash-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1052.000000,Дедушка моет бабушку,Ынпыӄлавола кылгытэв'ын'нин чачамэ,
К01,throw-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,1962.000000,Девочка бросает мяч,Н'авытк'атпиляк'а кунын'лын'нин к'апыл,
К01,scold-1-2-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1246.000000,Мальчик ругает двух девочек,К'айыкмин'а кокытг'айн'ан'нэн эльг'апэляк'ыт,
К03,eat-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,2662.000000,Мужчина ест яблоко,Г’удемтэв’илг’э  кунун'нин  яблок,
К03,wash-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1637.000000,Дедушка моет бабушку,Ынпыӄлавола килгытэв'н'ынин чачамэ,
К04,eat-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,1964.000000,Мужчина ест яблоко,"Г'олята  кугитэн,нин  ывынг'ын",смотрит
К04,scold-1-2-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,3358.000000,Мальчик ругает двух девочек,К'айыкмин'а кокытг'айн'ан'нэн  ӈавык'к'алют,
К04,feed-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,3435.000000,Два дедушки кормят бабушку,"Ынпыӄлавола  кукейкув,итэйн,нын  аняпэль",
К05,makelaugh-2-1-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,3053.000000,Две бабушки смешат дедушку,Ынпыӄлаволынак коначачгав'н'ынэн ынпыӈэв’у,
К05,eat-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,2426.000000,Мужчина ест яблоко,Г'олята  кунун'нин  яблок,
К05,wash-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1975.000000,Дедушка моет бабушку,Ынпыӄлаволанак конкопляв'н'ынэн ынпыӈэв’,
К05,throw-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,1734.000000,Девочка бросает мяч,Н'авык'к'алю  куйичвэтын'  к'апла,играют мячом
К05,scold-1-2-l.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,animate,1674.000000,Мальчик ругает двух девочек,К'айыкмин'ынак кокытг'айн'ан'нэн  ӈавык'к'алю,
К06,eat-1-1-r.png,direct,direct_2_agents_1_patient,All direct 2-1,2,1,inanimate,2408.000000,Мужчина ест яблоко,[договаривает про прошлое на русском] Г’олянак  кунун'нин  яблокан,
