window_key,window,participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,rt
speech_planning,Early event apprehension,К05,boil-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,inanimate,1959.000000
speech_planning,Early event apprehension,К05,break-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,inanimate,1818.000000
speech_planning,Early event apprehension,К05,break-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,inanimate,1633.000000
speech_planning,Early event apprehension,К05,cut_hair-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,animate,1737.000000
speech_planning,Early event apprehension,К05,cut_hair-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,animate,1498.000000
speech_planning,Early event apprehension,К05,dress-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,animate,1572.000000
speech_planning,Early event apprehension,К05,feed-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,animate,1324.000000
speech_planning,Early event apprehension,К05,feed-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,animate,1887.000000
speech_planning,Early event apprehension,К05,hang-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,inanimate,2095.000000
speech_planning,Early event apprehension,К05,hang-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,inanimate,2323.000000
speech_planning,Early event apprehension,К05,open-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,inanimate,1810.000000
speech_planning,Early event apprehension,К05,open-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,inanimate,1658.000000
speech_planning,Early event apprehension,К05,paint-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,inanimate,2316.000000
speech_planning,Early event apprehension,К05,paint-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,inanimate,1471.000000
speech_planning,Early event apprehension,К05,pour-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,animate,2523.000000
speech_planning,Early event apprehension,К05,pour-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,animate,1459.000000
speech_planning,Early event apprehension,К05,push-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,animate,1941.000000
speech_planning,Early event apprehension,К05,saw-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,inanimate,2012.000000
speech_planning,Early event apprehension,К05,scold-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,animate,1893.000000
speech_planning,Early event apprehension,К05,scold-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,animate,1625.000000
speech_planning,Early event apprehension,К05,throw-1-2-l.png,direct,direct_1_agent_2_patients,"1 agent, 2 patients",1,2,inanimate,1709.000000
speech_planning,Early event apprehension,К05,treat-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,animate,3241.000000
speech_planning,Early event apprehension,К05,wake-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,animate,2069.000000
speech_planning,Early event apprehension,К05,wake-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,animate,1452.000000
linguistic_encoding_1,Linguistic encoding I,К05,boil-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,inanimate,1959.000000
linguistic_encoding_1,Linguistic encoding I,К05,break-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,inanimate,1818.000000
linguistic_encoding_1,Linguistic encoding I,К05,break-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,inanimate,1633.000000
linguistic_encoding_1,Linguistic encoding I,К05,cut_hair-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,animate,1737.000000
linguistic_encoding_1,Linguistic encoding I,К05,cut_hair-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,animate,1498.000000
linguistic_encoding_1,Linguistic encoding I,К05,dress-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,animate,1572.000000
linguistic_encoding_1,Linguistic encoding I,К05,feed-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,animate,1324.000000
linguistic_encoding_1,Linguistic encoding I,К05,feed-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,animate,1887.000000
linguistic_encoding_1,Linguistic encoding I,К05,hang-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,inanimate,2095.000000
linguistic_encoding_1,Linguistic encoding I,К05,hang-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,inanimate,2323.000000
linguistic_encoding_1,Linguistic encoding I,К05,open-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,inanimate,1810.000000
linguistic_encoding_1,Linguistic encoding I,К05,open-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,inanimate,1658.000000
linguistic_encoding_1,Linguistic encoding I,К05,paint-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,inanimate,2316.000000
linguistic_encoding_1,Linguistic encoding I,К05,paint-2-1-l.png,inverse,inverse_2_agents_1_patient,"2 agents, 1 patient",2,1,inanimate,1471.000000
linguistic_encoding_1,Linguistic encoding I,К05,pour-1-1-r.png,direct,direct_1_agent_1_patient,"1 agent, 1 patient",1,1,animate,2523.000000
