sentence_type,condition_key,condition,verb,any_error_form_trials,vf_acc_inverse_marking_errors,vn_acc_verb_number_errors,pn_acc_patient_number_errors,participant_count,participants,image_count,images,pn_acc,vn_acc,vn_acc+pn_acc
direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",scold,2,0,1,1,2,К17; К24,1,scold-1-1-r.png,1,1,0
direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",feed,1,0,0,1,1,К16,1,feed-1-1-r.png,1,0,0
direct,direct_1_agent_1_patient_animate_patient,"1 agent, 1 patient, animate patient",teach,1,0,1,0,1,К22,1,teach-1-1-r.png,0,1,0
direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",boil,2,0,0,2,2,К05; К06,1,boil-1-1-r.png,2,0,0
direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",carry,2,0,1,1,2,К05; К06,1,carry-1-1-r.png,1,1,0
direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",water,2,0,0,2,2,К22; К24,1,water-1-1-r.png,2,0,0
direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",hang,1,0,0,1,1,К06,1,hang-1-1-r.png,1,0,0
direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",pull,1,0,0,1,1,К14,1,pull-1-1-r.png,1,0,0
direct,direct_1_agent_1_patient_inanimate_patient,"1 agent, 1 patient, inanimate patient",saw,1,0,0,1,1,К05,1,saw-1-1-r.png,1,0,0
direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",wake,5,0,1,4,5,К04; К05; К10; К22; К24,1,wake-1-2-l.png,4,1,0
direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",cut_hair,3,0,0,3,3,К05; К14; К22,1,cut_hair-1-2-l.png,3,0,0
direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",shoot,3,0,1,2,3,К04; К05; К06,1,shoot-1-2-l.png,2,1,0
