participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,rt,matched_accuracy,matched_by,vf_acc,vn_acc,pn_acc,is_error_form,error_fields,excluded_from_graphs
К01,carry-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2097.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,pour-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,2561.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,hang-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,2297.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,saw-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,3049.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,open-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1486.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К01,carry-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1842.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К01,pick-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1126.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,call-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,3003.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,water-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1177.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,makelaugh-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,2209.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,burn-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,2898.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
