verb,participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,vf_acc,vn_acc,pn_acc,error_fields,translation,transcription,verb_number,patient_number,word_order,comments
carry,К01,carry-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,0,1,vn_acc,Женщина несёт два ведра,Эльг'ата  кунн'ин'ныв'  н'ыччек вед[рата],3,2,AVP,
pour,К01,pour-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Двое мужчин обливают двух женщин,К'лаволайык  накимлытг'ын'ын'  эльг'ат,1,2,AVP,
hang,К01,hang-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,1,vn_acc,Две бабушки вешают две картины,Чачамйык  наконнёпаньн'ын  картинкат,1,2,AVP,
saw,К01,saw-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,1,vn_acc,Два мужчины пилят два бревна,К'лаволаийк нэкыргунэтын уттыт,1,2,AVP,
open,К01,open-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,1,0,pn_acc,Бабушка открывает две двери ,Чачамйа кунв'эн'энын'нин тыллытыл,1,1,AVP,
carry,К01,carry-2-1-l.png,inverse,inverse_2_agents_1_patient_inanimate_patient,"2 agents, 1 patient, inanimate patient",2,1,inanimate,1,1,0,pn_acc,Две женщины несут ведро,Н'авыткатпэлякайык  нэкимт'ин'нын  кукэн'эт,1,2,AVP,
pick,К01,pick-1-2-l.png,direct,direct_1_agent_2_patients_inanimate_patient,"1 agent, 2 patients, inanimate patient",1,2,inanimate,1,0,1,vn_acc,Девочка срывает два цветка,Н'авытк'атпил[яка]  купыйг'ын'ныт  мэчг'ат,2,2,AVP,
call,К01,call-1-2-l.png,direct,direct_1_agent_2_patients_animate_patient,"1 agent, 2 patients, animate patient",1,2,animate,1,0,1,vn_acc,Дедушка зовет двух бабушек ,Ынпыӄлавола кокэтг'айн'ив'ын'нит чачамйыт,2,2,AVP,
water,К01,water-2-2-r.png,inverse,inverse_2_agents_2_patients_inanimate_patient,"2 agents, 2 patients, inanimate patient",2,2,inanimate,1,0,1,vn_acc,Две девочки поливают два цветка ,Н'авытк'атпэлякайык  накимлытг'ын'нин  мэчг'ат,1,2,AVP,
makelaugh,К01,makelaugh-2-2-r.png,inverse,inverse_2_agents_2_patients_animate_patient,"2 agents, 2 patients, animate patient",2,2,animate,1,0,1,vn_acc,Два дедушки смешат двух бабушек,Ынпыӄлаволаийк  наконачачгав'ын'нэн  чачамйыт,1,2,AVP,
