participant,image,sentence_type,word_order,condition_key,condition,agent_num,patient_num,patient_animacy,rt,translation,transcription,comments
К04,pick-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,1537.000000,Мальчик срывает цветок,К'айыкмин'а  в'ытв'ыт куепйын'нин,хочет сорвать
К04,cut_hair-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,animate,2979.000000,Мальчик стрижет девочку,К'айыкмин'а ӈавык'к'алюн копаев'н'ын,
К04,burn-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,inanimate,2799.000000,Два дедушки сжигают две книги ,Г'оляйык книгав' нэкунгын'ев'ын'ын  ,
К04,pick-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,1412.000000,Девочка срывает два цветка,Н'авык'к'алюта в'ытв'ыт купыйг'ын'нын,
К09,pick-2-1-l.png,direct,APV,direct_apv,Direct APV,2,1,inanimate,4292.000000,Две девочки срывают один цветок,ага.. Лян'эта в'ытв'ыт  куепг'енин,
К14,dress-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,animate,4789.000000,Бабушка одевает двух дедушек,Чачамйа ынпын'эт конпальтов'нын,
К14,cover-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,1724.000000,Женщина накрывает один цветок,Н'авык'к'алюта так'лэн'ытын к'айпын'нин,
К14,wash-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,animate,1863.000000,Две бабушки моют одного дедушку,Чачамйык ынпын' наконмытын'нын,
К14,paint-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,inanimate,1413.000000,Девочка красит две доски,Н'авык'к'алюта доскат кокраскан'нын,
К14,give_water-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,animate,2029.000000,Мужчина поит женщину,Г'олята н'авычӈэн куникв'ычевын'нын,
К14,water-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,inanimate,3205.000000,Два мальчика поливают один цветок,К'айыкмин'ат так'лэн'ыт накимлытг'ын'ын  ,
К14,pour-2-2-r.png,inverse,APV,inverse_apv,Inverse APV,2,2,animate,3370.000000,Двое мужчин обливают двух женщин,Г'оляйык ӈавычӈэт накимлытг'ын'ын,
К14,plant-1-1-r.png,direct,APV,direct_apv,Direct APV,1,1,inanimate,4793.000000,Женщина сажает одно дерево,"че делает? ага...  Н'авык'к'алюта так'лэн'ытын контвайнын,нын",
К14,tie-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,1,2,animate,1657.000000,Два мальчика связывают девочку,К'айыкмин'ыйык ӈавык'к'алю накукылг'ытын'нин,
К14,shoot-1-1-r.png,direct,APV,direct_apv,Direct APV,2,2,animate,3726.000000,Мальчик стреляет в девочку,К'айыкмин'а  ӈавык'к'алю кулк'эйкв'ын'нин ,
К14,treat-1-2-l.png,direct,APV,direct_apv,Direct APV,1,2,animate,5786.000000,Мужчина лечит двух женщин ,че делает? ага... К'лавола н'авычӈэт кунмэлэв'ын'нин,
К14,hit-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,animate,2160.000000,Две девочки бьют мальчика,Н'авык'к'алюйык к'айыкмин'ын накойкыплын'нын,
К14,give_water-2-1-l.png,inverse,APV,inverse_apv,Inverse APV,2,1,animate,3576.000000,Две женщины поят мужчину ,Н'авычӈэ г'оля нэкуникв'ычевын'нын ,
